confidence_bin,games,hits,accuracy
80+,92,79,0.8586956521739131
70-75,153,116,0.7581699346405228
75-80,98,74,0.7551020408163265
65-70,178,127,0.7134831460674157
60-65,179,116,0.6480446927374302
55-60,215,124,0.5767441860465117
<=55,217,117,0.5391705069124424
