prob_bin,games,avg_pred_prob,observed_win_rate,calibration_gap
"(0.4, 0.5]",26,0.4837230769230769,0.6153846153846154,-0.1316615384615385
"(0.5, 0.6]",403,0.5515101736972705,0.5508684863523573,0.000641687344913211
"(0.6, 0.7]",355,0.6490360563380282,0.6845070422535211,-0.035470985915492914
"(0.7, 0.8]",256,0.740934765625,0.75390625,-0.012971484374999953
"(0.8, 0.9]",92,0.8263499999999999,0.8586956521739131,-0.032345652173913164
