game_id,date,time,season,home_team,away_team,home_score,away_score,total_goals,is_draw,completed,venue_name,odds_over_under,odds_details,odds_data_quality,home_goalie_name,away_goalie_name,home_goalie_id,away_goalie_id,home_goalie_confirmed,away_goalie_confirmed,home_goalie_found,away_goalie_found,goalie_data_quality,date_dt,TARGET_full_game,TARGET_over_55,TARGET_home_over_25,home_elo_pre,away_elo_pre,home_goals_scored_l5,home_goals_allowed_l5,home_goals_scored_l10,home_goals_allowed_l10,home_win_rate_l5,home_win_rate_l10,home_rest_days,away_goals_scored_l5,away_goals_allowed_l5,away_goals_scored_l10,away_goals_allowed_l10,away_win_rate_l5,away_win_rate_l10,away_rest_days,home_goalie_games_started_before,home_goalie_goals_allowed_l3,home_goalie_goals_allowed_l5,home_goalie_goals_allowed_l10,home_goalie_win_rate_l3,home_goalie_win_rate_l5,home_goalie_win_rate_l10,home_goalie_rest_days,home_same_goalie_as_prev_team_game,away_goalie_games_started_before,away_goalie_goals_allowed_l3,away_goalie_goals_allowed_l5,away_goalie_goals_allowed_l10,away_goalie_win_rate_l3,away_goalie_win_rate_l5,away_goalie_win_rate_l10,away_goalie_rest_days,away_same_goalie_as_prev_team_game,h2h_home_win_rate,elo_diff,rest_days_diff,win_rate_l5_diff,win_rate_l10_diff,goals_scored_l5_diff,goals_allowed_l5_diff,goals_scored_l10_diff,goals_allowed_l10_diff,goalie_goals_allowed_l3_diff,goalie_goals_allowed_l5_diff,goalie_goals_allowed_l10_diff,goalie_win_rate_l3_diff,goalie_win_rate_l5_diff,goalie_win_rate_l10_diff,goalie_rest_days_diff,goalie_experience_diff,both_goalies_found,both_goalies_confirmed
401790343,2025-10-02,18:00,2025,0.0,0.0,3,4,7,0,1,Xfinity Mobile Arena,0.0,0.0,fallback,0.0,0.0,4587815,3151981,0,0,1,1,found_both,2025-10-02,0,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401790375,2025-10-02,19:00,2025,0.0,0.0,7,1,8,0,1,Enterprise Center,0.0,0.0,fallback,0.0,0.0,2590874,4894703,0,0,1,1,found_both,2025-10-02,1,1,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401790344,2025-10-03,18:00,2025,0.0,0.0,5,4,9,0,1,PPG Paints Arena,0.0,0.0,fallback,0.0,0.0,5188366,4239677,0,0,1,1,found_both,2025-10-03,1,1,1,1514.2865779352096,1485.7134220647904,5.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,1,1.0,28.573155870419214,0.0,1.0,1.0,2.0,-2.0,2.0,-2.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,5.0,-1.0,1,0
401790345,2025-10-03,21:00,2025,0.0,0.0,1,4,5,0,1,T-Mobile Arena,0.0,0.0,fallback,0.0,0.0,3939714,3114994,0,0,1,1,found_both,2025-10-03,0,0,0,1510.7134220647904,1485.7134220647904,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,25.0,0.0,1.0,1.0,0.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401794790,2025-10-03,20:00,2025,0.0,0.0,4,5,9,0,1,Scotiabank Saddledome,0.0,0.0,fallback,0.0,0.0,4587952,3020225,0,0,1,1,found_both,2025-10-03,0,1,1,1485.7134220647904,1500.0,1.0,8.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,-14.286577935209607,1.0,0.0,0.0,1.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401794803,2025-10-03,21:00,2025,0.0,0.0,3,2,5,0,1,Rogers Arena,0.0,0.0,fallback,0.0,0.0,3096217,5524,0,0,1,1,found_both,2025-10-03,1,0,1,1514.2865779352096,1489.2865779352096,8.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,1,0.5,25.0,0.0,1.0,1.0,6.0,-3.0,6.0,-3.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,5.0,-1.0,1,0
401800982,2025-10-03,19:00,2025,0.0,0.0,2,3,5,0,1,United Center,0.0,0.0,fallback,0.0,0.0,4565234,4272674,0,0,1,1,found_both,2025-10-03,0,0,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401790346,2025-10-04,15:00,2025,0.0,0.0,5,4,9,0,1,crypto.com Arena,0.0,0.0,fallback,0.0,0.0,2610321,4588165,0,0,1,1,found_both,2025-10-04,1,1,1,1489.2865779352096,1514.2865779352096,1.0,2.0,1.0,2.0,0.0,0.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,-25.0,-1.0,-1.0,-1.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401790347,2025-10-04,15:00,2025,0.0,0.0,3,2,5,0,1,Bridgestone Arena,0.0,0.0,fallback,0.0,0.0,3042109,4565259,0,0,1,1,found_both,2025-10-04,1,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
401790348,2025-10-04,17:00,2025,0.0,0.0,3,2,5,0,1,American Airlines Center,0.0,0.0,fallback,0.0,0.0,4196914,4587836,0,0,1,1,found_both,2025-10-04,1,0,1,1500.0,1489.2865779352096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.5,10.713422064790393,-2.0,0.0,0.0,-1.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
