split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
16,full_game,2025-04-18,2025-07-07,2025-07-08,2025-07-15,2025-07-16,2025-07-16,640,67,11,0.0,1.0,0.0,0.66,0.0,0.8,0.29850746268656714,0.8,0.29850746268656714,0,0.0,0.05,0.11940298507462686,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6417910447761194,0.0,0.6417910447761194,0.22667210025765333,0.6453168312278798,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00040298507462686574,0.04477611940298507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6417910447761194,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.205369237509367,0.6011734385937696,0.5416666666666666,1.0,0.18181818181818182
17,full_game,2025-04-18,2025-07-10,2025-07-11,2025-07-18,2025-07-19,2025-07-19,670,67,10,0.35,0.65,0.0,0.61,0.0,0.6,0.5223880597014925,0.6666666666666666,0.1791044776119403,0,0.0,0.05,0.208955223880597,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6119402985074627,0.0,0.6119402985074627,0.23728569272750172,0.6674762631018294,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.000537313432835821,0.05970149253731343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6119402985074627,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.6,0.6,0.23982577677413133,0.6726498968408008,0.4583333333333333,0.3333333333333333,0.3
18,full_game,2025-04-18,2025-07-13,2025-07-15,2025-07-21,2025-07-22,2025-07-22,699,60,8,1.0,0.0,0.0,0.58,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667,0,0.0,0.05,0.2,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.55,0.0,0.55,0.24616228636108983,0.6853941997067384,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0006000000000000001,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.55,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.24656760863686455,0.6862055900601496,0.9375,0.0,0.0
19,full_game,2025-04-18,2025-07-17,2025-07-18,2025-07-24,2025-07-25,2025-07-25,728,60,10,0.0,1.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.16666666666666666,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5,0.01,0.55,0.2482662284508556,0.6896722596962734,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00045000000000000004,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.55,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.25776102839762827,0.7087707126062847,0.32000000000000006,0.0,0.0
20,full_game,2025-04-18,2025-07-20,2025-07-21,2025-07-27,2025-07-28,2025-07-28,757,62,1,1.0,0.0,0.0,0.56,0.0,0.5348837209302325,0.6935483870967742,0.5405405405405406,0.5967741935483871,0,0.0,0.05,0.14516129032258066,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5645161290322581,0.0,0.5645161290322581,0.24513476980883303,0.6833593712404736,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00014516129032258066,0.016129032258064516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5645161290322581,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228136808099219,0.5,0.0,1.0
21,full_game,2025-04-18,2025-07-23,2025-07-24,2025-07-30,2025-07-31,2025-07-31,779,60,8,1.0,0.0,0.0,0.64,0.0,0.6956521739130435,0.38333333333333336,0.6842105263157895,0.31666666666666665,0,0.0,0.05,0.15,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6333333333333333,0.0,0.6333333333333333,0.23067324560978486,0.6537991269909558,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6333333333333333,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.375,0.375,0.299234906590399,0.7944128468256422,0.5333333333333333,0.0,0.25
22,full_game,2025-04-18,2025-07-26,2025-07-27,2025-08-02,2025-08-03,2025-08-03,808,59,10,0.0,1.0,0.0,0.55,0.0,0.0,0.0,1.0,0.01694915254237288,0,0.0,0.05,0.1016949152542373,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,24.0,0.4915254237288136,-0.01,0.6101694915254238,0.24700504821323344,0.6871538712781278,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0003050847457627119,0.03389830508474576,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6101694915254238,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.5,0.5,0.24943783861678687,0.6919767139054973,0.6875,1.0,0.1
23,full_game,2025-04-18,2025-07-29,2025-07-30,2025-08-05,2025-08-06,2025-08-06,830,56,11,0.0,1.0,0.0,0.57,0.0,0.6538461538461539,0.4642857142857143,0.4444444444444444,0.16071428571428573,0,0.0,0.05,0.10714285714285714,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,8.0,0.5535714285714286,-0.02,0.625,0.2400170291528966,0.6729229193584079,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00016071428571428573,0.017857142857142856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.625,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2727272727272727,0.6363636363636364,0.6363636363636364,0.23868996790906485,0.670494198527826,0.5833333333333334,0.0,0.09090909090909091
24,full_game,2025-04-18,2025-08-01,2025-08-02,2025-08-09,2025-08-10,2025-08-10,857,54,6,0.0,1.0,0.0,0.67,0.0,0.7894736842105263,0.35185185185185186,0.7777777777777778,0.3333333333333333,0,0.0,0.05,0.09259259259259259,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6481481481481481,0.0,0.6481481481481481,0.22291499301386108,0.637277225037125,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,0.018518518518518517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6481481481481481,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.22885852951908994,0.651594435088794,0.375,0.5,0.3333333333333333
25,full_game,2025-04-18,2025-08-04,2025-08-05,2025-08-13,2025-08-14,2025-08-14,878,51,3,0.0,1.0,0.0,0.64,0.0,0.75,0.39215686274509803,0.7222222222222222,0.35294117647058826,0,0.0,0.05,0.09803921568627451,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6274509803921569,0.0,0.6274509803921569,0.2299090887559363,0.6520875610572531,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00017647058823529413,0.0196078431372549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6274509803921569,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2385813777912776,0.6728128535460264,0.0,0.5,0.6666666666666666
