match_id,date,time,tour,tournament,surface,round,player_a,player_b,player_a_rank,player_b_rank,diff_rank,player_a_odds,player_b_odds,player_a_implied_prob,player_b_implied_prob,diff_implied_prob,player_a_matches_before,player_b_matches_before,player_a_win_rate_l5,player_b_win_rate_l5,diff_win_rate_l5,player_a_win_rate_all,player_b_win_rate_all,diff_win_rate_all,player_a_streak,player_b_streak,diff_streak,TARGET_player_a_win
ATP-2023-0308-271,2023-04-17,nan,ATP,Munich,Clay,R32,Max Hans Rehberg,Marton Fucsovics,412.0,75.0,-337.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0308-272,2023-04-17,nan,ATP,Munich,Clay,R32,Dominic Thiem,Constant Lestienne,101.0,60.0,-41.0,,,,,,0.0,4.0,,0.75,,,0.75,,0.0,-1.0,1.0,1
ATP-2023-0308-273,2023-04-17,nan,ATP,Munich,Clay,R32,Kyle Edmund,Marc Andrea Huesler,509.0,63.0,-446.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0308-275,2023-04-17,nan,ATP,Munich,Clay,R32,Aslan Karatsev,Daniel Altmaier,129.0,93.0,-36.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0308-276,2023-04-17,nan,ATP,Munich,Clay,R32,Alexander Ritschard,Jan Lennard Struff,209.0,64.0,-145.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0308-277,2023-04-17,nan,ATP,Munich,Clay,R32,Marcos Giron,Roberto Carballes Baena,68.0,53.0,-15.0,,,,,,3.0,0.0,0.6666666666666666,,,0.6666666666666666,,,-1.0,0.0,-1.0,1
ATP-2023-0308-278,2023-04-17,nan,ATP,Munich,Clay,R32,Oscar Otte,Sebastian Baez,94.0,30.0,-64.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,1
ATP-2023-0308-279,2023-04-17,nan,ATP,Munich,Clay,R32,Flavio Cobolli,Jordan Thompson,208.0,91.0,-117.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0308-280,2023-04-17,nan,ATP,Munich,Clay,R32,Christopher Oconnell,Ugo Humbert,82.0,72.0,-10.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,1
ATP-2023-0308-282,2023-04-17,nan,ATP,Munich,Clay,R32,Lorenzo Sonego,Quentin Halys,45.0,65.0,20.0,,,,,,0.0,3.0,,0.6666666666666666,,,0.6666666666666666,,0.0,-1.0,1.0,1
ATP-2023-0308-283,2023-04-17,nan,ATP,Munich,Clay,R32,Marko Topo,Cristian Garin,478.0,86.0,-392.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0308-284,2023-04-17,nan,ATP,Munich,Clay,R32,Yannick Hanfmann,Thiago Monteiro,112.0,89.0,-23.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,1
ATP-2023-0308-286,2023-04-17,nan,ATP,Munich,Clay,R16,Marton Fucsovics,Taylor Fritz,75.0,10.0,-65.0,,,,,,1.0,0.0,1.0,,,1.0,,,1.0,0.0,1.0,0
ATP-2023-0308-287,2023-04-17,nan,ATP,Munich,Clay,R16,Dominic Thiem,Marc Andrea Huesler,101.0,63.0,-38.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
ATP-2023-0308-288,2023-04-17,nan,ATP,Munich,Clay,R16,Aslan Karatsev,Botic Van De Zandschulp,129.0,29.0,-100.0,,,,,,1.0,0.0,1.0,,,1.0,,,1.0,0.0,1.0,0
ATP-2023-0308-289,2023-04-17,nan,ATP,Munich,Clay,R16,Marcos Giron,Alexander Ritschard,68.0,209.0,141.0,,,,,,4.0,1.0,0.75,1.0,-0.25,0.75,1.0,-0.25,1.0,1.0,0.0,1
ATP-2023-0308-290,2023-04-17,nan,ATP,Munich,Clay,R16,Flavio Cobolli,Oscar Otte,208.0,94.0,-114.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
ATP-2023-0308-291,2023-04-17,nan,ATP,Munich,Clay,R16,Christopher Oconnell,Alexander Zverev,82.0,16.0,-66.0,,,,,,1.0,0.0,1.0,,,1.0,,,1.0,0.0,1.0,1
ATP-2023-0308-292,2023-04-17,nan,ATP,Munich,Clay,R16,Lorenzo Sonego,Cristian Garin,45.0,86.0,41.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
ATP-2023-0308-293,2023-04-17,nan,ATP,Munich,Clay,R16,Holger Rune,Yannick Hanfmann,7.0,112.0,105.0,,,,,,0.0,1.0,,1.0,,,1.0,,0.0,1.0,-1.0,1
ATP-2023-0308-294,2023-04-17,nan,ATP,Munich,Clay,QF,Dominic Thiem,Taylor Fritz,101.0,10.0,-91.0,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0
ATP-2023-0308-295,2023-04-17,nan,ATP,Munich,Clay,QF,Botic Van De Zandschulp,Marcos Giron,29.0,68.0,39.0,,,,,,1.0,5.0,1.0,0.8,0.19999999999999996,1.0,0.8,0.19999999999999996,1.0,2.0,-1.0,1
ATP-2023-0308-296,2023-04-17,nan,ATP,Munich,Clay,QF,Christopher Oconnell,Flavio Cobolli,82.0,208.0,126.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1
ATP-2023-0308-297,2023-04-17,nan,ATP,Munich,Clay,QF,Holger Rune,Cristian Garin,7.0,86.0,79.0,,,,,,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,1
ATP-2023-0308-298,2023-04-17,nan,ATP,Munich,Clay,SF,Taylor Fritz,Botic Van De Zandschulp,10.0,29.0,19.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0
ATP-2023-0308-299,2023-04-17,nan,ATP,Munich,Clay,SF,Holger Rune,Christopher Oconnell,7.0,82.0,75.0,,,,,,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,-1.0,1
ATP-2023-0308-300,2023-04-17,nan,ATP,Munich,Clay,F,Holger Rune,Botic Van De Zandschulp,7.0,29.0,22.0,,,,,,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1
ATP-2023-0311-270,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Holger Rune,Maxime Cressy,6.0,42.0,36.0,,,,,,4.0,0.0,1.0,,,1.0,,,4.0,0.0,4.0,1
ATP-2023-0311-271,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Ryan Peniston,Ugo Humbert,265.0,37.0,-228.0,,,,,,0.0,2.0,,0.0,,,0.0,,0.0,-2.0,2.0,1
ATP-2023-0311-272,2023-06-19,nan,ATP,Queen's Club,Grass,R32,J J Wolf,Ben Shelton,47.0,35.0,-12.0,,,,,,2.0,2.0,0.5,0.5,0.0,0.5,0.5,0.0,-1.0,-1.0,0.0,0
ATP-2023-0311-273,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Jan Choinski,Lorenzo Musetti,167.0,16.0,-151.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0311-274,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Bernabe Zapata Miralles,Taylor Fritz,50.0,8.0,-42.0,,,,,,0.0,3.0,,0.6666666666666666,,,0.6666666666666666,,0.0,-1.0,1.0,0
ATP-2023-0311-275,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Liam Broady,Adrian Mannarino,143.0,46.0,-97.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,0
ATP-2023-0311-276,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Diego Schwartzman,Mackenzie Mcdonald,107.0,67.0,-40.0,,,,,,1.0,0.0,0.0,,,0.0,,,-1.0,0.0,-1.0,1
ATP-2023-0311-277,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Andy Murray,Alex De Minaur,38.0,18.0,-20.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0311-278,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Miomir Kecmanovic,Cameron Norrie,40.0,13.0,-27.0,,,,,,0.0,4.0,,0.75,,,0.75,,0.0,-1.0,1.0,0
ATP-2023-0311-279,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Alexei Popyrin,Jordan Thompson,94.0,76.0,-18.0,,,,,,0.0,1.0,,0.0,,,0.0,,0.0,-1.0,1.0,0
ATP-2023-0311-280,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Sebastian Korda,Daniel Evans,32.0,25.0,-7.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
