threshold,market_threshold,market_tiebreak_band,train_acc,valid_acc,full_acc
0.53,0.49,0.12,0.6353591160220995,0.7709251101321586,0.6625441696113075
0.53,0.495,0.12,0.6353591160220995,0.7709251101321586,0.6625441696113075
0.52,0.49,0.12,0.6331491712707182,0.7709251101321586,0.6607773851590106
0.52,0.495,0.12,0.6331491712707182,0.7709251101321586,0.6607773851590106
0.505,0.49,0.12,0.6287292817679558,0.7709251101321586,0.657243816254417
0.505,0.495,0.12,0.6287292817679558,0.7709251101321586,0.657243816254417
0.51,0.49,0.12,0.6287292817679558,0.7709251101321586,0.657243816254417
0.51,0.495,0.12,0.6287292817679558,0.7709251101321586,0.657243816254417
0.515,0.49,0.12,0.6287292817679558,0.7709251101321586,0.657243816254417
0.515,0.495,0.12,0.6287292817679558,0.7709251101321586,0.657243816254417
0.5,0.49,0.12,0.625414364640884,0.7709251101321586,0.6545936395759717
0.5,0.495,0.12,0.625414364640884,0.7709251101321586,0.6545936395759717
0.525,0.49,0.12,0.6375690607734806,0.7665198237885462,0.6634275618374559
0.525,0.495,0.12,0.6375690607734806,0.7665198237885462,0.6634275618374559
0.53,0.495,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.5,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.5,0.12,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.505,0.1,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.505,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.505,0.12,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.51,0.1,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.51,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.51,0.12,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.515,0.09,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.515,0.1,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.515,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.515,0.12,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.52,0.09,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.52,0.1,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.52,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.52,0.12,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.525,0.09,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.525,0.1,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.525,0.11,0.6353591160220995,0.7665198237885462,0.661660777385159
0.53,0.525,0.12,0.6353591160220995,0.7665198237885462,0.661660777385159
