split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
10,f5,2024-02-23,2024-04-21,2024-04-22,2024-04-28,2024-04-29,2024-04-29,766,95,11,0.8,0.2,0.0,0.64,0.0,0.7333333333333333,0.15789473684210525,0.6363636363636364,0.11578947368421053,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.42105263157894735,0.0,0.5789473684210527,0.23633051744641786,0.6653126312621903,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005052631578947369,0.7368421052631579,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5789473684210527,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.24664446821556216,0.6870669281083872,0.3571428571428571,0.0,0.0
11,f5,2024-02-23,2024-04-24,2024-04-25,2024-05-01,2024-05-02,2024-05-02,807,96,6,0.2,0.8,0.0,0.65,0.0,0.9333333333333333,0.15625,0.9230769230769231,0.13541666666666666,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4270833333333333,0.0,0.5625,0.23143140551019337,0.6543067726007111,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004666666666666667,0.65625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5625,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.21698292109632544,0.6226032849361924,0.75,1.0,0.3333333333333333
12,f5,2024-02-23,2024-04-27,2024-04-28,2024-05-04,2024-05-05,2024-05-05,846,93,15,0.2,0.8,0.0,0.56,0.0,0.7272727272727273,0.11827956989247312,0.7777777777777778,0.0967741935483871,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4838709677419355,0.0,0.5591397849462365,0.24591542955496712,0.6849162060412586,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004655913978494624,0.6451612903225806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5591397849462365,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2451955149908975,0.6834261914992186,0.4814814814814815,1.0,0.06666666666666667
13,f5,2024-02-23,2024-04-30,2024-05-01,2024-05-07,2024-05-08,2024-05-08,888,91,15,0.5,0.5,0.0,0.56,0.0,0.7142857142857143,0.23076923076923078,0.6666666666666666,0.1978021978021978,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4725274725274725,0.0,0.5274725274725275,0.24461506131606586,0.6822734192811573,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004714285714285715,0.6483516483516484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5274725274725275,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2505272193296487,0.6942899489192249,0.46296296296296297,0.3333333333333333,0.2
14,f5,2024-02-23,2024-05-03,2024-05-04,2024-05-10,2024-05-11,2024-05-11,924,92,15,0.5,0.5,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1,0.015,0.08,0.0,0,fallback_default,global_lr,none,0.0,0.5108695652173914,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25273075117684146,0.698617482162456,0.4464285714285714,0.0,0.0
15,f5,2024-02-23,2024-05-06,2024-05-07,2024-05-13,2024-05-14,2024-05-14,964,95,15,0.5,0.5,0.0,0.55,0.0,0.6666666666666666,0.06315789473684211,0.8,0.05263157894736842,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5052631578947369,0.0,0.5684210526315789,0.24769165466856932,0.6885241243298137,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0036842105263157903,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5684210526315789,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.24599373400269087,0.6851043703067696,0.6666666666666667,1.0,0.06666666666666667
16,f5,2024-02-23,2024-05-09,2024-05-10,2024-05-16,2024-05-17,2024-05-17,1001,94,15,0.35,0.65,0.0,0.57,0.0,0.6153846153846154,0.13829787234042554,0.75,0.0851063829787234,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4787234042553192,0.0,0.5957446808510638,0.24496684126489562,0.6830310770200497,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0045957446808510645,0.6808510638297872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5957446808510638,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.27343384762601736,0.7403089136830355,0.12962962962962962,0.0,0.13333333333333333
17,f5,2024-02-23,2024-05-12,2024-05-13,2024-05-19,2024-05-20,2024-05-20,1046,93,12,0.8,0.2,0.0,0.55,0.0,0.6666666666666666,0.03225806451612903,0.5,0.021505376344086023,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5376344086021505,0.0,0.5376344086021505,0.24838502809022295,0.6899095899447376,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005354838709677419,0.7096774193548387,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5376344086021505,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.23316260561050875,0.6594082554564694,0.40740740740740744,0.0,0.0
18,f5,2024-02-23,2024-05-15,2024-05-16,2024-05-22,2024-05-23,2024-05-23,1089,92,8,0.65,0.35,0.0,0.57,0.0,0.6923076923076923,0.14130434782608695,0.6363636363636364,0.11956521739130435,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5217391304347826,0.0,0.6086956521739131,0.243895900369006,0.6808836303339486,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005641304347826087,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6086956521739131,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.24405314635555664,0.6813449825904427,0.6666666666666666,0.0,0.125
19,f5,2024-02-23,2024-05-18,2024-05-19,2024-05-25,2024-05-26,2024-05-26,1124,94,15,0.2,0.8,0.0,0.55,0.0,1.0,0.010638297872340425,1.0,0.010638297872340425,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5106382978723404,0.0,0.5212765957446809,0.24876941403579017,0.6906792340469661,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005287234042553192,0.7021276595744681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5212765957446809,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2595771474002902,0.7123385757028503,0.5681818181818181,0.0,0.0
