game_id,date,time,season,home_team,away_team,home_score,away_score,home_p1_goals,away_p1_goals,total_p1_goals,total_goals,is_draw,completed,venue_name,odds_over_under,odds_details,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,odds_data_quality,home_goalie_name,away_goalie_name,home_goalie_id,away_goalie_id,home_goalie_confirmed,away_goalie_confirmed,home_goalie_found,away_goalie_found,goalie_data_quality
401790337,2025-10-01,18:00,2025,BUF,PIT,3,5,1,1,2,8,0,1,KeyBank Center,0.0,N/A,,,,,,fallback,Alexandar Georgiev,Arturs Silovs,4239677,4576894,0,0,1,1,found_both
401790336,2025-10-01,20:00,2025,VGK,COL,2,1,0,1,1,3,0,1,T-Mobile Arena,0.0,N/A,,,,,,fallback,Akira Schmid,Scott Wedgewood,4587845,5622,0,0,1,1,found_both
401794797,2025-10-01,20:00,2025,CGY,VAN,1,8,0,4,4,9,0,1,Scotiabank Saddledome,0.0,N/A,,,,,,fallback,Ivan Prosvetov,Kevin Lankinen,4587557,4341584,0,0,1,1,found_both
401790335,2025-10-01,21:00,2025,SJS,ANA,2,5,0,0,0,7,0,1,SAP Center at San Jose,0.0,N/A,,,,,,fallback,Yaroslav Askarov,Calle Clang,4697394,4697668,0,0,1,1,found_both
401794801,2025-10-01,21:00,2025,SEA,EDM,4,2,3,1,4,6,0,1,Climate Pledge Arena,0.0,N/A,,,,,,fallback,Joey Daccord,Calvin Pickard,3942073,5524,0,0,1,1,found_both
401790338,2025-10-02,18:00,2025,WSH,BOS,1,3,1,0,1,4,0,1,Capital One Arena,0.0,N/A,,,,,,fallback,Charlie Lindgren,Joonas Korpisalo,3095975,3069266,0,0,1,1,found_both
401790339,2025-10-02,18:00,2025,TOR,DET,1,3,1,0,1,4,0,1,Scotiabank Arena,0.0,N/A,,,,,,fallback,Anthony Stolarz,Cam Talbot,3067313,5734,0,0,1,1,found_both
401790340,2025-10-02,18:00,2025,TBL,FLA,5,2,1,1,2,7,0,1,Benchmark International Arena,0.0,N/A,,,,,,fallback,Brandon Halverson,Daniil Tarasov,3115036,4587994,0,0,1,1,found_both
401790342,2025-10-02,18:00,2025,NYR,NJD,1,3,0,1,1,4,0,1,Madison Square Garden,0.0,N/A,,,,,,fallback,Jonathan Quick,Jacob Markstrom,3634,5452,0,0,1,1,found_both
401790343,2025-10-02,18:00,2025,PHI,NYI,3,4,1,0,1,7,0,1,Xfinity Mobile Arena,0.0,N/A,,,,,,fallback,Samuel Ersson,Ilya Sorokin,4587815,3151981,0,0,1,1,found_both
401790375,2025-10-02,19:00,2025,STL,OTT,7,1,3,0,3,8,0,1,Enterprise Center,0.0,N/A,,,,,,fallback,Jordan Binnington,Leevi Merilainen,2590874,4894703,0,0,1,1,found_both
401790341,2025-10-02,20:00,2025,UTA,LAK,2,1,1,0,1,3,0,1,Delta Center,0.0,N/A,,,,,,fallback,Vitek Vanecek,Anton Forsberg,3114996,3036851,0,0,1,1,found_both
401790344,2025-10-03,18:00,2025,PIT,BUF,5,4,1,0,1,9,0,1,PPG Paints Arena,0.0,N/A,,,,,,fallback,Sergei Murashov,Alexandar Georgiev,5188366,4239677,0,0,1,1,found_both
401800982,2025-10-03,19:00,2025,CHI,MIN,2,3,2,0,2,5,0,1,United Center,0.0,N/A,,,,,,fallback,Spencer Knight,Filip Gustavsson,4565234,4272674,0,0,1,1,found_both
401794790,2025-10-03,20:00,2025,CGY,WPG,4,5,3,1,4,9,0,1,Scotiabank Saddledome,0.0,N/A,,,,,,fallback,Dustin Wolf,Connor Hellebuyck,4587952,3020225,0,0,1,1,found_both
401790345,2025-10-03,21:00,2025,VGK,SJS,1,4,0,1,1,5,0,1,T-Mobile Arena,0.0,N/A,,,,,,fallback,Adin Hill,Alex Nedeljkovic,3939714,3114994,0,0,1,1,found_both
401794803,2025-10-03,21:00,2025,VAN,EDM,3,2,1,0,1,5,0,1,Rogers Arena,0.0,N/A,,,,,,fallback,Thatcher Demko,Calvin Pickard,3096217,5524,0,0,1,1,found_both
401790350,2025-10-04,11:30,2025,PHI,NJD,4,3,1,1,2,7,0,1,Xfinity Mobile Arena,0.0,N/A,,,,,,fallback,Dan Vladar,Jake Allen,3942459,5111,0,0,1,1,found_both
401790351,2025-10-04,13:00,2025,BOS,NYR,4,1,2,0,2,5,0,1,TD Garden,0.0,N/A,,,,,,fallback,Jeremy Swayman,Igor Shesterkin,4712036,3151297,0,0,1,1,found_both
