dataset,market,folds,accuracy_mean,accuracy_std,logloss_mean,logloss_std,brier_mean,brier_std,valid_rows_mean
baseline,btts,5,0.5405405405405406,0.0689056691026052,0.964603598698486,0.13658338775770484,0.3272024233043405,0.050283874345374936,37.0
baseline,full_game,5,0.508108108108108,0.06729675458372288,1.3847529214224237,0.08811220508793244,0.7093661095049256,0.04754369733253163,37.0
baseline,over_25,5,0.5351351351351352,0.07252112359458777,1.0499756567473773,0.2502451345242495,0.33918447820806874,0.05876926026815409,37.0
v3,btts,5,0.4972972972972974,0.05921324946001796,1.0058772212114315,0.17032362072750556,0.33643401815592433,0.056161275214015045,37.0
v3,full_game,5,0.4864864864864865,0.046812183988347994,1.4023824870860377,0.1505790063604024,0.7356894225353475,0.044769871664720864,37.0
v3,over_25,5,0.5297297297297298,0.09478744819864963,1.0674754780645366,0.24517376174723407,0.3518054604769075,0.06968728039828331,37.0
