"scenario","extra_features","drop_features","accuracy","brier","logloss","coverage","published_accuracy","published_coverage","rows","splits"
"baseline_ref","","","0.578231292517007","0.250180442014941","0.693639244529471","0.076530612244898","0.466666666666667","0.076530612244898","588","55"
"add_home_r1_allowed_rate_L10","home_r1_allowed_rate_L10","","0.551020408163265","0.250870262821493","0.695029235602646","0.0476190476190476","0.535714285714286","0.0476190476190476","588","55"
"add_diff_baserunners_allowed_L10","diff_baserunners_allowed_L10","","0.547619047619048","0.250301415498725","0.693828291829118","0.0306122448979592","0.5","0.0306122448979592","588","55"
"add_diff_hits_allowed_L10","diff_hits_allowed_L10","","0.539115646258503","0.251764737691377","0.696826164497326","0.0493197278911565","0.379310344827586","0.0493197278911565","588","55"
"add_diff_player_hits_allowed_L10","diff_player_hits_allowed_L10","","0.537414965986395","0.250795535381916","0.69484125117067","0.0510204081632653","0.6","0.0510204081632653","588","55"
"add_diff_r1_allowed_rate_L10","diff_r1_allowed_rate_L10","","0.534013605442177","0.251709241442475","0.696714818824336","0.0476190476190476","0.535714285714286","0.0476190476190476","588","55"
"add_favorite_elo_gap_signed","favorite_elo_gap_signed","","0.525510204081633","0.252033112975382","0.69732690421976","0.0697278911564626","0.439024390243902","0.0697278911564626","588","55"
