scenario,reliability_enabled,reliability_shrink_alpha,reliability_side_shift,reliability_conflict_shift,accuracy,published_accuracy,published_coverage,published_roi_per_bet,published_total_return_units,published_priced_picks,roi_threshold_split_rate,threshold_objective_mode,split_count,avg_reliability_mean_test,avg_reliability_abs_shift_mean_test,avg_reliability_enabled_rate_test,avg_reliability_conflict_rate_test,reliability_enabled_split_rate,avg_reliability_mean_test_summary,avg_reliability_abs_shift_mean_test_summary,avg_reliability_conflict_rate_test_summary,no_accuracy_regression,no_published_accuracy_regression,roi_non_drop,priced_non_drop,global_accuracy_improved,decision,decision_reason,exit_code,log_file
reliability_off,0,0.12,0.01,0.006,0.5816326530612245,0.515625,0.10884353741496598,-0.00769704206395762,-0.2693964722385167,35,0.2545454545454545,accuracy_cov,55,1.0,nan,nan,0.0,0.0,1.0,nan,0.0,1,1,1,1,0,baseline,reference,0,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_reliability_compare_reliability_off.log
reliability_on,1,0.12,0.01,0.006,0.5561224489795918,0.575,0.06802721088435375,0.07074569544853368,1.4856596044192072,21,0.23636363636363636,accuracy_cov,55,0.0925236376809717,nan,nan,0.4364072899768087,1.0,0.09252363768097172,nan,0.43640728997680855,0,1,1,0,0,reject,accuracy_drop;priced_drop,0,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_reliability_compare_reliability_on.log
