"scenario","thr_min","thr_max","shift_enabled","shift_range","shift_step","accuracy","brier","logloss","coverage","published_accuracy","published_coverage","rows","splits"
"thr_band_054_066","0.54","0.66","1","-0.02..0.02","0.01","0.578231292517007","0.250180442014941","0.693639244529471","0.0952380952380952","0.482142857142857","0.0952380952380952","588","55"
"thr_band_058_070","0.58","0.70","1","-0.02..0.02","0.01","0.578231292517007","0.250180442014941","0.693639244529471","0.0459183673469388","0.407407407407407","0.0459183673469388","588","55"
"thr_min_057","0.57","0.68","1","-0.02..0.02","0.01","0.578231292517007","0.250180442014941","0.693639244529471","0.054421768707483","0.4375","0.054421768707483","588","55"
"baseline_ref","0.56","0.68","1","-0.02..0.02","0.01","0.578231292517007","0.250180442014941","0.693639244529471","0.076530612244898","0.466666666666667","0.076530612244898","588","55"
"thr_min_055","0.55","0.68","1","-0.02..0.02","0.01","0.578231292517007","0.250180442014941","0.693639244529471","0.0884353741496599","0.461538461538462","0.0884353741496599","588","55"
"shift_off","0.56","0.68","0","0..0","0.01","0.57312925170068","0.249406853062884","0.692071967172502","0.0782312925170068","0.478260869565217","0.0782312925170068","588","55"
