scenario,input_file,accuracy,brier,logloss,coverage,published_accuracy,published_coverage,rows,splits,notes
current_worktree_model_ready,src/data/mlb/processed/model_ready_features_mlb.csv,0.5306122448979592,0.2524740567907063,0.6982721878343952,0.06292517006802721,0.40540540540540543,0.06292517006802721,588,55,baseline hyperparams locked
snapshot_HEAD_model_ready,src/data/mlb/processed/snapshots/model_ready_features_mlb_HEAD.csv,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.07653061224489796,0.4666666666666667,0.07653061224489796,588,55,recovered baseline using NBA_MLB_INPUT_FILE override
