scenario,accuracy,brier,logloss,published_accuracy,published_coverage,published_roi_per_bet,published_total_return_units,published_priced_picks,published_priced_coverage,published_mean_ev_edge,threshold_objective_mode,avg_calib_roi_per_bet,avg_calib_priced_coverage,avg_calib_mean_ev_edge,log_file,exit_code
roi_no_edge,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.5138888888888888,0.12244897959183673,0.036977510211509024,1.368167877825834,37,0.06292517006802721,0.006067380115206563,accuracy_cov,0.00046346856886772883,0.06096334619591437,0.006498661480880098,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_roi_compare_roi_no_edge.log,0
accuracy_cov_ref,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.48214285714285715,0.09523809523809523,0.028079960662792825,0.5896791739186493,21,0.03571428571428571,0.019959371638678253,accuracy_cov,0.0,0.0,0.0,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_roi_compare_accuracy_cov_ref.log,0
roi_edge_0015,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.3125,0.027210884353741496,-0.38888901822547417,-6.222224291607587,16,0.027210884353741496,0.11234960179437112,accuracy_cov,0.023817380424882864,0.03912977909075162,0.015960392271631544,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_roi_compare_roi_edge_0015.log,0
