scenario,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus,accuracy,published_accuracy,published_coverage,published_roi_per_bet,published_total_return_units,published_priced_picks,roi_threshold_split_rate,threshold_objective_mode,split_count,avg_vol_norm_mean_test,avg_vol_norm_high_rate_test,avg_vol_norm_mean_calib,avg_vol_norm_high_rate_calib,avg_vol_norm_threshold_bonus_mean_calib,no_accuracy_regression,no_published_accuracy_regression,roi_non_drop,priced_non_drop,global_accuracy_improved,decision,decision_reason,exit_code,log_file
vol_norm_off,0,0.0,0.0,0.5782312925170068,0.5138888888888888,0.12244897959183673,0.036977510211509024,1.368167877825834,37,0.2545454545454545,accuracy_cov,55,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,baseline,reference,0,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_vol_norm_compare_vol_norm_off.log
vol_norm_on,1,0.18,0.02,0.5816326530612245,0.515625,0.10884353741496598,-0.00769704206395762,-0.2693964722385167,35,0.2545454545454545,accuracy_cov,55,0.2999891374300288,0.23829859089217378,0.2987376293270155,0.22842986182140565,0.005974752586540309,1,1,0,0,1,promote_global_accuracy,global_accuracy_up,0,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\tmp\full_game_vol_norm_compare_vol_norm_on.log
