split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
59,full_game,2024-02-23,2024-09-19,2024-09-20,2024-09-26,2024-09-27,2024-09-27,2732,87,15,0.0,1.0,0.0,0.56,0.0,0.6666666666666666,0.3103448275862069,0.55,0.22988505747126436,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,16.0,0.5287356321839081,0.0,0.632183908045977,0.24101868754559763,0.6750942671765024,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005551724137931036,0.735632183908046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.632183908045977,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26200101322457153,0.7171853143343534,0.2962962962962963,1.0,0.06666666666666667
60,full_game,2024-02-23,2024-09-22,2024-09-23,2024-09-29,2024-09-30,2024-09-30,2777,86,2,0.0,1.0,0.0,0.56,0.0,0.5952380952380952,0.4883720930232558,0.5925925925925926,0.313953488372093,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.4418604651162791,0.0,0.5581395348837209,0.24596825615522402,0.6850493555471889,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004848837209302326,0.7209302325581395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5581395348837209,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.23616700147964886,0.665243983897705,1.0,1.0,0.5
61,full_game,2024-02-23,2024-09-25,2024-09-26,2024-10-02,2024-10-03,2024-10-03,2810,63,1,1.0,0.0,0.0,0.59,0.0,0.6190476190476191,0.3333333333333333,0.7,0.15873015873015872,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.4126984126984127,0.0,0.5873015873015873,0.24206922218455618,0.6771860859609387,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00488888888888889,0.7142857142857143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5873015873015873,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5262646779455736,0.5,1.0,1.0
71,full_game,2024-02-23,2025-02-20,2025-02-21,2025-02-27,2025-02-28,2025-02-28,2909,92,16,0.0,1.0,0.0,0.54,0.0,0.5,0.043478260869565216,1.0,0.021739130434782608,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.532608695652174,0.0,0.532608695652174,0.24888250151794403,0.690910227218675,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005815217391304348,0.7065217391304348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.532608695652174,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.2356999879518298,0.6645124609948256,0.29166666666666663,0.0,0.0
72,full_game,2024-02-23,2025-02-23,2025-02-24,2025-03-02,2025-03-03,2025-03-03,2945,104,12,0.0,1.0,0.0,0.57,0.0,0.6538461538461539,0.25,0.6153846153846154,0.125,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5480769230769231,-0.01,0.5769230769230769,0.24472363604156047,0.6824971455764188,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0051730769230769235,0.6634615384615384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5769230769230769,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.2443694590923976,0.6817576092014975,0.7777777777777779,0.0,0.0
73,full_game,2024-02-23,2025-02-26,2025-02-27,2025-03-05,2025-03-06,2025-03-06,2985,101,15,0.0,1.0,0.0,0.6,0.0,0.7241379310344828,0.2871287128712871,0.6428571428571429,0.13861386138613863,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,8.0,0.5643564356435643,0.0,0.6138613861386139,0.23583415152416462,0.6643452869007441,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004871287128712872,0.6237623762376238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6138613861386139,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.2824196297787631,0.7586898040406975,0.31481481481481477,0.5,0.13333333333333333
74,full_game,2024-02-23,2025-03-01,2025-03-02,2025-03-08,2025-03-09,2025-03-09,3033,96,17,1.0,0.0,0.0,0.55,0.0,0.696969696969697,0.34375,0.6363636363636364,0.22916666666666666,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,24.0,0.5416666666666666,0.0,0.5520833333333334,0.245250183397666,0.6835611590556931,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004822916666666667,0.6041666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5520833333333334,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.7058823529411765,0.23266380436711093,0.6583321406531139,0.6000000000000001,0.5,0.11764705882352941
75,full_game,2024-02-23,2025-03-04,2025-03-05,2025-03-11,2025-03-12,2025-03-12,3073,103,11,0.0,1.0,0.0,0.57,0.0,0.6551724137931034,0.2815533980582524,0.6,0.14563106796116504,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5631067961165048,0.0,0.5631067961165048,0.24580709113739088,0.6847305319360778,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005349514563106797,0.6990291262135923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5631067961165048,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.2598550671074593,0.7129835221781656,0.3,0.0,0.0
76,full_game,2024-02-23,2025-03-07,2025-03-08,2025-03-14,2025-03-15,2025-03-15,3112,104,17,0.0,1.0,0.0,0.6,0.0,0.7142857142857143,0.2692307692307692,0.6666666666666666,0.028846153846153848,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5865384615384616,0.0,0.5865384615384616,0.241195356007175,0.6753415077419274,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.006355769230769231,0.7884615384615384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5865384615384616,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.47058823529411764,0.26804787760664955,0.7299110219108174,0.4166666666666667,0.0,0.0
77,full_game,2024-02-23,2025-03-10,2025-03-11,2025-03-17,2025-03-18,2025-03-18,3162,102,12,1.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5,0.0,0.5686274509803921,0.24950805762499995,0.6921633253308112,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005460784313725491,0.7058823529411765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5686274509803921,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.24869896589029036,0.6905434486742963,0.6,0.0,0.0
