feature,nonzero_pct,std,abs_corr_target,mutual_info,rf_importance
diff_elo,99.9692733138731,74.25343809720303,0.10191461515956778,0.01284743647379849,0.10745480309670265
away_elo_pre,100.0,51.73858106954349,0.06999666910273983,0.0,0.07321385816514465
home_elo_pre,100.0,51.20949380984253,0.07705567728581414,0.005206973268507609,0.07115899339398038
diff_runs_allowed_std_L10,99.73882316792134,1.3125522431430228,0.040283155328193467,0.007161815820032835,0.05279163030575783
diff_offense_vs_pitcher,99.89245659855584,10.834945252350295,0.02666062009983328,0.0018099102688793334,0.04960921003814858
diff_run_diff_L10_vs_league,98.17176217544937,2.3913825569471827,0.06811909517617178,0.007430714757321155,0.04578530998090907
diff_run_diff_L10_blend,98.17176217544937,2.3913825569471827,0.06811909517617178,0.0,0.04503613044349626
diff_form_power,99.0321093870026,1.2530992680712094,0.06341923211880598,0.00317042215425678,0.044088244066065194
diff_run_diff_L10,98.17176217544937,2.3913825569471827,0.06811909517617178,0.006736432454452768,0.04284947845770908
diff_runs_scored_std_L10,99.7541865109848,1.3274486467008086,0.01615502596050476,0.0,0.04227384526033299
diff_bullpen_runs_allowed_L10,95.48317713934551,1.0214392032969513,0.04196062561377287,0.0,0.03969613292836303
diff_surface_run_diff_L5,97.4804117375941,3.2876034374763488,0.0624619102015761,0.0006912515387247353,0.03905353121054563
diff_runs_scored_L5_blend,96.26670763558151,2.1508088986451237,0.0326212243316916,0.007710803011294898,0.03709049290116129
diff_runs_scored_L5,96.26670763558151,2.1508088986451237,0.0326212243316916,0.0,0.036516582611216056
umpire_zone_delta,100.0,0.30413516189436923,0.018106501123358345,0.009051119708967326,0.03423836836426625
diff_runs_allowed_L5_blend,96.31279766477185,2.1381476973872373,0.019268322866650086,0.006920170732569453,0.03315950135237568
diff_runs_allowed_L5,96.31279766477185,2.1381476973872373,0.019268322866650086,0.0,0.02954309077911538
diff_bullpen_runs_allowed_L5,93.13258565063758,1.3603016055875623,0.009010287308478027,0.0,0.026721233502991854
diff_pitcher_rest_days,60.255031494853284,5.550980174329659,0.02607250911296232,0.0,0.02668117803110279
diff_surface_edge,89.69119680442465,0.26993908393853333,0.011514416821219077,0.0049223199820735974,0.022963866746427745
diff_surface_win_pct_L5,79.02903671838992,0.3588001352761406,0.04775913672889322,0.0011639844511088793,0.01754919194604564
diff_win_pct_L10,85.43555077584882,0.2600031348503512,0.05395240175956401,0.002899496564439108,0.015317065629074197
diff_win_pct_L10_blend,85.43555077584882,0.2600031348503512,0.05395240175956401,0.0,0.015106688826707348
diff_win_pct_L10_vs_league,85.43555077584882,0.2600031348503512,0.05395240175956401,0.0,0.014401571530953573
umpire_sample_log,88.00122906744508,0.4616399149937321,0.023135701117323746,0.0033025781308029245,0.010680917270048903
diff_games_last_5_days,37.54801044707328,0.7202983268320137,0.02307141629436786,0.0,0.008957923761790611
diff_fatigue_index,41.49638961438009,1.004486640126615,0.010495425140405674,0.0,0.007537371555329038
odds_over_under,3.1341219849439237,1.429378437637868,0.012671647929316167,0.008731791414323453,0.005008444684016162
diff_rest_days,11.583960669841757,0.5757730438774873,0.010552401303080647,0.0,0.0024504363755766686
home_is_favorite,99.10892610231986,0.2722283977115317,0.012765318389661277,0.0,0.0015586069727758411
market_missing,96.86587801505607,0.17425157862632643,0.01159051216565715,0.008652090413701519,0.0015062998118696579
current_line,0.0,0.0,0.0,0.00779571289415304,0.0
bookmakers_count,0.0,0.0,0.0,0.007346603594326373,0.0
both_pitchers_available,100.0,0.0,0.0,0.003376332203069321,0.0
market_line_velocity,0.0,0.0,0.0,0.002881339979792452,0.0
current_away_moneyline,0.0,0.0,0.0,0.002851275634623729,0.0
line_movement,0.0,0.0,0.0,0.002826971526108224,0.0
market_total_delta,0.0,0.0,0.0,0.002745816638212828,0.0
market_micro_missing,100.0,0.0,0.0,0.0007324260088574785,0.0
diff_games_in_season_before,0.0,0.0,0.0,0.0004330488631203444,0.0
current_total_line,0.0,0.0,0.0,0.0003716158829245586,0.0
diff_bullpen_load_L3,0.2611768320786603,0.06320592177453786,0.004563856506943989,0.0,0.0
diff_prev_runs_scored_pg,0.0,0.0,0.0,0.0,0.0
diff_prev_runs_allowed_pg,0.0,0.0,0.0,0.0,0.0
open_line,0.0,0.0,0.0,0.0,0.0
open_total,0.0,0.0,0.0,0.0,0.0
current_total,0.0,0.0,0.0,0.0,0.0
total_movement,0.0,0.0,0.0,0.0,0.0
current_home_moneyline,0.0,0.0,0.0,0.0,0.0
snapshot_count,0.0,0.0,0.0,0.0,0.0
market_moneyline_gap,0.0,0.0,0.0,0.0,0.0
