"config","global_accuracy_all_games","published_accuracy","coverage","brier","log_loss","published_picks","meta_gate_on_splits","prob_shift_mean","prob_shift_min","prob_shift_max","prob_shift_nonzero_splits","published_confidence_mean","published_confidence_min","published_confidence_max","published_probability_distribution","log_file","exit_code"
"shift_tight","0.546247818499127","0.604166666666667","0.0837696335078534","0.250841539016131","0.695020025328513","48","0","-0.00166666666666667","-0.01","0.01","19","0.60085360758083","0.561757431020044","0.692122798345911","0.56-0.60:33 | 0.60-0.65:8 | 0.65+:7","C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\run_shift_shift_tight.log","0"
"shift_default","0.544502617801047","0.64","0.087260034904014","0.250916298913594","0.695169365113368","50","0","-0.00555555555555556","-0.04","0.03","27","0.598384400087995","0.561757431020044","0.672122798345911","0.56-0.60:36 | 0.60-0.65:10 | 0.65+:4","C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\run_shift_shift_default.log","0"
"shift_off","0.542757417102967","0.566037735849057","0.0924956369982548","0.25102283971402","0.695379224995626","53","0","0","0","0","0","0.600650210019296","0.562443884841841","0.692122798345911","0.56-0.60:37 | 0.60-0.65:9 | 0.65+:7","C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\run_shift_shift_off.log","0"
"shift_negative","0.537521815008726","0.53030303030303","0.115183246073298","0.251019952493126","0.695332686806645","66","0","-0.0175925925925926","-0.08","0","29","0.592276349594373","0.562517087274723","0.672122798345911","0.56-0.60:55 | 0.60-0.65:6 | 0.65+:5","C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\run_shift_shift_negative.log","0"
"shift_positive","0.535776614310646","0.576271186440678","0.102966841186736","0.250939311142685","0.695221138745721","59","0","0.00240740740740741","0","0.03","8","0.599256538684937","0.561757431020044","0.692122798345911","0.56-0.60:42 | 0.60-0.65:10 | 0.65+:7","C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\run_shift_shift_positive.log","0"
