trial,status,accuracy,coverage,published_accuracy,published_coverage,brier,logloss,roc_auc,rows,published_rows,duration_sec,config_hash,log_file,started_at_utc
24,ok,0.5595238095238095,0.11564625850340136,0.5147058823529411,0.11564625850340136,0.24972991343853942,0.6926890509813317,0.508390022675737,588,68,50.711,3b9f4e899e87c3979a27371cd5243a13a18a678c,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000024_3b9f4e899e.log,2026-04-19T23:46:42.461228+00:00
13,ok,0.5561224489795918,0.12755102040816327,0.52,0.12755102040816327,0.25048676523418223,0.6942567071501872,0.5018780161637305,588,75,49.156,fe1f0b747cbcae0fbb1705e87daee0024c8d05f6,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000013_fe1f0b747c.log,2026-04-19T23:37:26.230103+00:00
16,ok,0.5527210884353742,0.09863945578231292,0.5689655172413793,0.09863945578231292,0.250199018852833,0.6936684151363275,0.5103668817954533,588,58,49.49,009b6739f78eab91d38ee91552909bbc22aee200,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000016_009b6739f7.log,2026-04-19T23:40:00.244474+00:00
22,ok,0.5527210884353742,0.0782312925170068,0.4782608695652174,0.0782312925170068,0.24997791365546598,0.6931998459719448,0.5028199313913599,588,46,50.085,b156c00e72f389624a74a8e1c71d0a3360b25a23,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000022_b156c00e72.log,2026-04-19T23:45:01.084198+00:00
19,ok,0.5510204081632653,0.017006802721088437,0.9,0.017006802721088437,0.24914303754207337,0.6914938192177191,0.5148787720216291,588,10,50.372,5ca95be2522555d36ddc5a9400e6a83e0158308b,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000019_5ca95be252.log,2026-04-19T23:42:30.687241+00:00
10,ok,0.5510204081632653,0.022108843537414966,0.7692307692307693,0.022108843537414966,0.24970262730545698,0.6926080399010642,0.5110645967788825,588,13,53.049,d3db294d09d611c0398d36fdb5ae43174c52f3ab,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000010_d3db294d09.log,2026-04-19T23:34:48.908175+00:00
21,ok,0.5510204081632653,0.10034013605442177,0.5084745762711864,0.10034013605442177,0.249047061935363,0.6913134815583479,0.5170184313041456,588,59,51.171,6ea0960ee6fd5623a34e85f3c098223f2e937111,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000021_6ea0960ee6.log,2026-04-19T23:44:09.892962+00:00
20,ok,0.5459183673469388,0.06462585034013606,0.5,0.06462585034013606,0.2501352695459209,0.6935311507432917,0.5088086516657946,588,38,48.797,2699eecafcb4be7efcb1c8a5a1730b96921aa670,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000020_2699eecafc.log,2026-04-19T23:43:21.074478+00:00
12,ok,0.54421768707483,0.034013605442176874,0.5,0.034013605442176874,0.2509077587948186,0.6950741363332752,0.5047967905110762,588,20,51.26,bb3dabd035d1879c7d6e612ed53c89ccb9020787,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000012_bb3dabd035.log,2026-04-19T23:36:34.950540+00:00
17,ok,0.5425170068027211,0.11394557823129252,0.5373134328358209,0.11394557823129252,0.24944244707642635,0.6921151529157353,0.5215535786964358,588,67,50.31,cae95570220abdb1f79c203e107ef84cb8fc9c04,C:\Users\andra\Desktop\NBA GOLD\src\data\mlb\walkforward\massive_logs\trial_000017_cae9557022.log,2026-04-19T23:40:49.862156+00:00
