sport,date,game_id,closing_moneyline_odds,home_moneyline_odds,away_moneyline_odds,closing_spread_odds,closing_total_odds,closing_q1_odds,closing_f5_odds,closing_home_over_odds,closing_corners_odds,closing_btts_odds,closing_spread_line,closing_total_line,odds_over_under,odds_source_provider,draw_moneyline_odds
kbo,2026-03-21,13227,,,,,,,,,,,,,,,
kbo,2026-03-21,13228,,,,,,,,,,,,,,,
kbo,2026-03-21,13229,,,,,,,,,,,,,,,
kbo,2026-03-21,13230,,,,,,,,,,,,,,,
kbo,2026-03-21,13231,-182.0,-182.0,130.0,,,,,,,,,,,,
laliga,2026-03-21,748425,140.0,140.0,250.0,125.0,-155.0,,,,,,-0.5,1.5,1.5,DraftKings,
laliga,2026-03-21,748426,120.0,120.0,240.0,110.0,110.0,,,,,,-0.5,2.5,2.5,DraftKings,
laliga,2026-03-21,748427,105.0,105.0,270.0,-105.0,-110.0,,,,,,-0.5,2.5,2.5,DraftKings,
laliga,2026-03-21,748428,130.0,130.0,240.0,120.0,135.0,,,,,,-0.5,2.5,2.5,DraftKings,
laliga,2026-03-21,748430,110.0,110.0,265.0,100.0,105.0,,,,,,-0.5,2.5,2.5,DraftKings,
liga_mx,2026-03-21,401840916,-105.0,-105.0,290.0,-115.0,105.0,,,,,,-0.5,2.5,2.5,DraftKings,
liga_mx,2026-03-21,401840918,100.0,100.0,255.0,-110.0,-145.0,,,,,,-0.5,2.5,2.5,DraftKings,
liga_mx,2026-03-21,401840919,115.0,225.0,115.0,-145.0,-120.0,,,,,,0.5,2.5,2.5,DraftKings,
liga_mx,2026-03-21,401840920,145.0,180.0,145.0,-185.0,-120.0,,,,,,0.5,2.5,2.5,DraftKings,
mlb,2026-03-21,401833291,,,,,,,,,,,,,,,
mlb,2026-03-21,401833292,,,,,,,,,,,,,,,
mlb,2026-03-21,401833293,,,,,,,,,,,,,,,
mlb,2026-03-21,401833294,,,,,,,,,,,,,,,
mlb,2026-03-21,401833295,,,,,,,,,,,,,,,
mlb,2026-03-21,401833296,,,,,,,,,,,,,,,
mlb,2026-03-21,401833297,,,,,,,,,,,,,,,
mlb,2026-03-21,401833298,,,,,,,,,,,,,,,
mlb,2026-03-21,401833299,,,,,,,,,,,,,,,
mlb,2026-03-21,401833300,,,,,,,,,,,,,,,
mlb,2026-03-21,401833301,,,,,,,,,,,,,,,
mlb,2026-03-21,401833302,,,,,,,,,,,,,,,
mlb,2026-03-21,401833303,,,,,,,,,,,,,,,
mlb,2026-03-21,401833304,,,,,,,,,,,,,,,
mlb,2026-03-21,401833305,,,,,,,,,,,,,,,
nba,2026-03-21,401810877,-4202.0,1870.0,-4202.0,-106.0,-110.0,,,,,,20.5,229.5,229.5,Draft Kings,
nba,2026-03-21,401810878,-1467.0,-1467.0,900.0,-106.0,-112.0,,,,,,-16.5,234.5,234.5,Draft Kings,
nba,2026-03-21,401810879,-144.0,127.0,-144.0,-106.0,-115.0,,,,,,2.5,232.5,232.5,Draft Kings,
nba,2026-03-21,401810880,-193.0,168.0,-193.0,-6.0,-108.0,,,,,,4.5,235.5,235.5,Draft Kings,
nba,2026-03-21,401810881,,,,,-105.0,,,,,,-10.5,229.5,229.5,Draft Kings,
nba,2026-03-21,401810882,,,,,-110.0,,,,,,-1.5,229.5,229.5,Draft Kings,
nba,2026-03-21,401810883,,,,,-110.0,,,,,,-18.5,233.5,233.5,Draft Kings,
nba,2026-03-21,401810884,,,,,-110.0,,,,,,6.5,233.5,233.5,Draft Kings,
nba,2026-03-21,401810885,,,,,-110.0,,,,,,5.5,230.5,230.5,Draft Kings,
nba,2026-03-21,401810886,,,,,-110.0,,,,,,-11.5,219.5,219.5,Draft Kings,
ncaa_baseball,2026-03-21,6540364,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540415,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540467,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540521,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540585,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540685,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540740,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540794,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540844,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540900,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540943,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540944,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540991,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541063,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541087,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541098,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541207,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541245,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541281,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541286,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541368,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541452,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541488,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541539,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541592,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541620,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541686,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541723,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541755,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541818,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541873,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541892,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541949,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6542042,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6542047,,,,,,,,,,,,,,,
