game_id,date,season,home_team,away_team,home_elo_pre,away_elo_pre,diff_elo,home_rest_days,away_rest_days,diff_rest_days,home_is_b2b,away_is_b2b,diff_is_b2b,home_games_last_3_days,away_games_last_3_days,diff_games_last_3_days,home_games_last_5_days,away_games_last_5_days,diff_games_last_5_days,home_games_last_7_days,away_games_last_7_days,diff_games_last_7_days,home_win_pct_L5,away_win_pct_L5,diff_win_pct_L5,home_win_pct_L10,away_win_pct_L10,diff_win_pct_L10,home_pts_diff_L5,away_pts_diff_L5,diff_pts_diff_L5,home_pts_diff_L10,away_pts_diff_L10,diff_pts_diff_L10,home_q1_win_pct_L5,away_q1_win_pct_L5,diff_q1_win_pct_L5,home_q1_diff_L5,away_q1_diff_L5,diff_q1_diff_L5,home_pts_scored_L5,away_pts_scored_L5,diff_pts_scored_L5,home_pts_conceded_L5,away_pts_conceded_L5,diff_pts_conceded_L5,home_win_pct_D10,away_win_pct_D10,diff_win_pct_D10,home_pts_diff_D10,away_pts_diff_D10,diff_pts_diff_D10,home_q1_diff_D10,away_q1_diff_D10,diff_q1_diff_D10,home_momentum_win,away_momentum_win,diff_momentum_win,home_momentum_pts,away_momentum_pts,diff_momentum_pts,home_momentum_q1,away_momentum_q1,diff_momentum_q1,home_regression_alert,away_regression_alert,diff_regression_alert,home_home_only_win_pct_L5,away_away_only_win_pct_L5,diff_surface_win_pct_L5,home_home_only_pts_diff_L5,away_away_only_pts_diff_L5,diff_surface_pts_diff_L5,home_home_only_q1_win_pct_L5,away_away_only_q1_win_pct_L5,diff_surface_q1_win_pct_L5,home_win_pct_L10_vs_league,away_win_pct_L10_vs_league,diff_win_pct_L10_vs_league,home_pts_diff_L10_vs_league,away_pts_diff_L10_vs_league,diff_pts_diff_L10_vs_league,home_q1_win_pct_L5_vs_league,away_q1_win_pct_L5_vs_league,diff_q1_win_pct_L5_vs_league,home_spread,spread_abs,home_is_favorite,odds_over_under,market_missing,TARGET_home_win,TARGET_home_win_q1
401584709,2023-10-27,2023-24,CLE,OKC,1505.792407207336,1512.8012999960577,-7.008892788721596,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,2,1,1,0.5,1.0,-0.5,0.5,1.0,-0.5,-2.0,20.0,-22.0,-2.0,20.0,-22.0,0.5,0.0,0.5,2.5,-2.0,4.5,109.0,124.0,-15.0,111.0,104.0,7.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,0.0,20.0,-20.0,0.0,0.0,0.0,0.0,0.5,-0.5,-3.4318181818181817,18.568181818181817,-22.0,0.0,-0.5,0.5,0.0,0.0,0,0.0,0,0,0
401584710,2023-10-27,2023-24,CHI,TOR,1487.1987000039423,1514.207592792664,-27.008892788721596,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,1,2,-1,0.0,1.0,-1.0,0.0,1.0,-1.0,-20.0,19.5,-39.5,-20.0,19.5,-39.5,1.0,0.5,0.5,2.0,3.5,-1.5,104.0,115.5,-11.5,124.0,96.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-20.0,0.0,-20.0,1.0,0.0,1.0,-0.5,0.5,-1.0,-21.431818181818183,18.068181818181817,-39.5,0.5,0.0,0.5,0.0,0.0,0,0.0,0,1,1
401584711,2023-10-27,2023-24,SAS,HOU,1499.8520794225028,1500.0,-0.1479205774971888,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,2,2,0,0.5,0.5,0.0,0.5,0.5,0.0,-1.0,-12.0,11.0,-1.0,-12.0,11.0,1.0,0.0,1.0,8.0,-5.0,13.0,120.5,98.0,22.5,121.5,110.0,11.5,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-7.0,-30.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.4318181818181817,-13.431818181818182,11.0,0.5,-0.5,1.0,0.0,0.0,0,0.0,0,1,1
401584712,2023-10-27,2023-24,DAL,BKN,1520.1479205774972,1487.0088927887216,33.13902778877559,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,2,1,1,1.0,0.0,1.0,1.0,0.0,1.0,8.5,-1.0,9.5,8.5,-1.0,9.5,0.5,0.0,0.5,3.0,-5.0,8.0,120.0,113.0,7.0,111.5,114.0,-2.5,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,10.0,0.0,10.0,1.0,0.0,1.0,0.5,-0.5,1.0,7.068181818181818,-2.4318181818181817,9.5,0.0,-0.5,0.5,0.0,0.0,0,0.0,0,1,1
401584713,2023-10-27,2023-24,UTA,LAC,1487.1987000039423,1507.1987000039423,-20.0,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,1,1,0,0.0,1.0,-1.0,0.0,1.0,-1.0,-16.0,12.0,-28.0,-16.0,12.0,-28.0,0.0,1.0,-1.0,-8.0,9.0,-17.0,114.0,123.0,-9.0,130.0,111.0,19.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-16.0,0.0,-16.0,0.0,0.0,0.0,-0.5,0.5,-1.0,-17.431818181818183,10.568181818181818,-28.0,-0.5,0.5,-1.0,0.0,0.0,0,0.0,0,1,1
401584714,2023-10-27,2023-24,POR,ORL,1492.8012999960577,1514.3974000078847,-21.596100011827048,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,1,2,-1,0.0,1.0,-1.0,0.0,1.0,-1.0,-12.0,31.5,-43.5,-12.0,31.5,-43.5,0.0,1.0,-1.0,-9.0,12.5,-21.5,111.0,112.5,-1.5,123.0,81.0,42.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-1.0,-13.431818181818182,30.068181818181817,-43.5,-0.5,0.5,-1.0,0.0,0.0,0,0.0,0,0,0
401584715,2023-10-27,2023-24,SAC,GSW,1512.8012999960577,1474.7403219249172,38.060978071140426,2.0,3.0,-1.0,0,0,0,1,1,0,1,1,0,1,2,-1,1.0,0.0,1.0,1.0,0.0,1.0,16.0,-4.5,20.5,16.0,-4.5,20.5,1.0,0.0,1.0,8.0,-4.5,12.5,130.0,110.5,19.5,114.0,115.0,-1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,14.568181818181818,-5.931818181818182,20.5,0.5,-0.5,1.0,0.0,0.0,0,0.0,0,0,1
401584716,2023-10-28,2023-24,DET,CHI,1498.9613473212307,1495.128218614636,3.8331287065948345,1.0,1.0,0.0,1,1,0,2,2,0,2,2,0,2,2,0,0.3333333333333333,0.5,-0.16666666666666669,0.3333333333333333,0.5,-0.16666666666666669,0.3333333333333333,-9.5,9.833333333333334,0.3333333333333333,-9.5,9.833333333333334,0.6666666666666666,1.0,-0.33333333333333337,0.3333333333333333,4.0,-3.6666666666666665,105.66666666666667,104.0,1.6666666666666714,105.33333333333333,113.5,-8.166666666666671,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1071428571428572,0.05952380952380948,-0.16666666666666669,1.8333333333333333,-8.0,9.833333333333334,0.2857142857142857,0.6190476190476191,-0.33333333333333337,0.0,0.0,0,0.0,0,1,1
401584717,2023-10-28,2023-24,WAS,MEM,1485.9798766109686,1468.121480669027,17.85839594194158,3.0,1.0,2.0,0,1,-1,1,2,-1,1,2,-1,1,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,-29.5,-6.333333333333333,-23.166666666666668,-29.5,-6.333333333333333,-23.166666666666668,0.5,0.3333333333333333,0.16666666666666669,-1.0,-3.3333333333333335,2.3333333333333335,109.0,108.0,1.0,138.5,114.33333333333333,24.16666666666667,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-8.0,8.0,0.0,0.0,0.0,-0.4404761904761905,-0.4404761904761905,0.0,-28.0,-4.833333333333333,-23.166666666666668,0.11904761904761907,-0.047619047619047616,0.16666666666666669,0.0,0.0,0,0.0,0,1,1
401584718,2023-10-28,2023-24,NOP,NYK,1512.609276893552,1499.9626577965737,12.646619096978384,3.0,1.0,2.0,0,1,-1,1,2,-1,1,2,-1,1,2,-1,1.0,0.5,0.5,1.0,0.5,0.5,7.0,1.0,6.0,7.0,1.0,6.0,0.0,0.5,-0.5,-3.0,-4.0,1.0,111.0,115.0,-4.0,104.0,114.0,-10.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,0.0,6.0,-6.0,0.0,1.0,-1.0,0.5595238095238095,0.05952380952380948,0.5,8.5,2.5,6.0,-0.38095238095238093,0.11904761904761907,-0.5,0.0,0.0,0,0.0,0,1,1
401584719,2023-10-28,2023-24,CLE,IND,1493.1780398941378,1514.0201233890314,-20.842083494893586,1.0,3.0,-2.0,1,0,1,2,1,1,2,1,1,2,1,1,0.3333333333333333,1.0,-0.6666666666666667,0.3333333333333333,1.0,-0.6666666666666667,-2.3333333333333335,14.0,-16.333333333333332,-2.3333333333333335,14.0,-16.333333333333332,0.3333333333333333,0.0,0.3333333333333333,0.0,-2.5,2.5,107.66666666666667,126.0,-18.33333333333333,110.0,112.0,-2.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,-0.1071428571428572,0.5595238095238095,-0.6666666666666667,-0.8333333333333335,15.5,-16.333333333333332,-0.047619047619047616,-0.38095238095238093,0.3333333333333333,0.0,0.0,0,0.0,0,0,1
401584720,2023-10-28,2023-24,TOR,PHI,1506.2780741819704,1500.0,6.278074181970396,1.0,2.0,-1.0,1,0,1,2,1,1,2,1,1,2,1,1,0.6666666666666666,0.5,0.16666666666666663,0.6666666666666666,0.5,0.16666666666666663,12.666666666666666,6.5,6.166666666666666,12.666666666666666,6.5,6.166666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-4.0,4.333333333333333,111.33333333333333,118.5,-7.166666666666671,98.66666666666667,112.0,-13.333333333333329,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,19.5,-1.0,20.5,0.5,0.0,0.5,0.2261904761904761,0.05952380952380948,0.16666666666666663,14.166666666666666,8.0,6.166666666666666,-0.047619047619047616,-0.38095238095238093,0.3333333333333333,0.0,0.0,0,0.0,0,0,1
401584721,2023-10-28,2023-24,MIN,MIA,1492.9911072112784,1493.1372184859022,-0.14611127462376317,3.0,1.0,2.0,0,1,-1,1,2,-1,1,2,-1,1,2,-1,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,-3.0,-4.333333333333333,1.333333333333333,-3.0,-4.333333333333333,1.333333333333333,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,94.0,106.0,-12.0,97.0,110.33333333333333,-13.333333333333329,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-7.0,7.0,0.0,1.0,-1.0,-0.4404761904761905,-0.1071428571428572,-0.3333333333333333,-1.5,-2.833333333333333,1.333333333333333,-0.38095238095238093,0.2857142857142857,-0.6666666666666666,0.0,0.0,0,0.0,0,1,0
401584722,2023-10-28,2023-24,PHX,UTA,1504.7304771281815,1494.9359636008794,9.794513527302115,2.0,1.0,1.0,0,1,-1,1,2,-1,2,2,0,2,2,0,0.5,0.5,0.0,0.5,0.5,0.0,-0.5,-7.0,6.5,-0.5,-7.0,6.5,0.5,0.5,0.0,6.0,-2.5,8.5,101.5,117.0,-15.5,102.0,124.0,-22.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05952380952380948,0.05952380952380948,0.0,1.0,-5.5,6.5,0.11904761904761907,0.11904761904761907,0.0,0.0,0.0,0,0.0,0,1,1
401584723,2023-10-29,2023-24,OKC,DEN,1525.415667309256,1519.2692424374209,6.146424871835052,2.0,2.0,0.0,0,0,0,1,1,0,2,2,0,2,2,0,1.0,1.0,0.0,1.0,1.0,0.0,11.5,8.0,3.5,11.5,8.0,3.5,0.5,1.0,-0.5,1.5,10.5,-9.0,116.0,113.5,2.5,104.5,105.5,-1.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,0.0,4.0,-4.0,0.0,1.0,-1.0,0.45833333333333337,0.45833333333333337,0.0,10.666666666666666,7.166666666666667,3.499999999999999,0.027777777777777735,0.5277777777777777,-0.49999999999999994,0.0,0.0,0,0.0,0,0,0
401584724,2023-10-29,2023-24,HOU,GSW,1492.7973761295943,1488.5172981147773,4.280078014817036,2.0,2.0,0.0,0,0,0,1,1,0,2,2,0,2,2,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-9.333333333333334,-0.3333333333333333,-9.0,-9.333333333333334,-0.3333333333333333,-9.0,0.0,0.0,0.0,-4.0,-4.666666666666667,0.666666666666667,106.0,114.33333333333333,-8.333333333333329,115.33333333333333,114.66666666666667,0.6666666666666572,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,6.0,8.0,-2.0,0.0,0.0,0.0,-0.20833333333333331,-0.20833333333333331,0.0,-10.166666666666668,-1.1666666666666665,-9.000000000000002,-0.47222222222222227,-0.47222222222222227,0.0,0.0,0.0,0,0.0,0,0,0
401584725,2023-10-29,2023-24,MIL,ATL,1514.3974000078847,1473.0284494147047,41.36895059317999,3.0,2.0,1.0,0,0,0,1,1,0,1,2,-1,1,2,-1,1.0,0.0,1.0,1.0,0.0,1.0,4.5,-8.666666666666666,13.166666666666666,4.5,-8.666666666666666,13.166666666666666,1.0,0.6666666666666666,0.33333333333333337,6.5,0.3333333333333333,6.166666666666667,121.0,112.0,9.0,116.5,120.66666666666667,-4.166666666666671,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,4.5,-10.0,14.5,1.0,1.0,0.0,0.45833333333333337,-0.5416666666666666,1.0,3.666666666666667,-9.5,13.166666666666668,0.5277777777777777,0.19444444444444436,0.3333333333333333,0.0,0.0,0,0.0,0,0,0
401584726,2023-10-29,2023-24,PHI,POR,1512.966961068299,1480.5821960037367,32.384765064562316,1.0,2.0,-1.0,1,0,1,2,1,1,2,2,0,2,2,0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,6.666666666666667,-8.5,15.166666666666668,6.666666666666667,-8.5,15.166666666666668,0.0,0.0,0.0,-5.666666666666667,-7.0,1.333333333333333,117.0,104.0,13.0,110.33333333333333,112.5,-2.1666666666666714,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,14.0,-12.0,26.0,0.0,0.0,0.0,0.125,-0.5416666666666666,0.6666666666666666,5.833333333333334,-9.333333333333334,15.166666666666668,-0.47222222222222227,-0.47222222222222227,0.0,0.0,0.0,0,0.0,0,1,1
401584727,2023-10-29,2023-24,LAC,SAS,1499.4614364070053,1507.0547032929085,-7.5932668859031764,2.0,2.0,0.0,0,0,0,1,1,0,2,2,0,2,2,0,0.5,0.6666666666666666,-0.16666666666666663,0.5,0.6666666666666666,-0.16666666666666663,5.0,0.6666666666666666,4.333333333333333,5.0,0.6666666666666666,4.333333333333333,0.5,1.0,-0.5,3.0,6.0,-3.0,120.5,122.33333333333333,-1.8333333333333286,115.5,121.66666666666667,-6.166666666666671,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,12.0,5.0,7.0,1.0,1.0,0.0,-0.04166666666666663,0.125,-0.16666666666666663,4.166666666666667,-0.16666666666666652,4.333333333333334,0.027777777777777735,0.5277777777777777,-0.49999999999999994,0.0,0.0,0,0.0,0,1,1
401584728,2023-10-29,2023-24,SAC,LAL,1499.0243238061976,1500.5292009469013,-1.5048771407036838,2.0,3.0,-1.0,0,0,0,1,1,0,2,2,0,2,2,0,0.5,0.5,0.0,0.5,0.5,0.0,4.0,-3.5,7.5,4.0,-3.5,7.5,1.0,0.0,1.0,6.5,-13.0,19.5,122.0,103.5,18.5,118.0,107.0,11.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-8.0,-12.0,4.0,1.0,0.0,1.0,-0.04166666666666663,-0.04166666666666663,0.0,3.166666666666667,-4.333333333333333,7.5,0.5277777777777777,-0.47222222222222227,1.0,0.0,0.0,0,0.0,0,1,1
401584729,2023-10-30,2023-24,CHA,BKN,1493.6501454596062,1480.6637680161632,12.986377443442962,3.0,3.0,0.0,0,0,0,1,1,0,2,2,0,2,2,0,0.5,0.0,0.5,0.5,0.0,0.5,-3.0,-3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,-7.5,-3.0,-4.5,107.5,116.5,-9.0,110.5,119.5,-9.0,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,-3.0,-5.0,2.0,0.0,0.0,0.0,-0.030303030303030276,-0.5303030303030303,0.5,-3.303030303030303,-3.303030303030303,0.0,-0.43560606060606055,-0.43560606060606055,0.0,0.0,0.0,0,0.0,0,0,0
401584730,2023-10-30,2023-24,IND,CHI,1526.2598510416526,1488.0308699612829,38.22898108036975,2.0,2.0,0.0,0,0,0,1,2,-1,2,3,-1,2,3,-1,1.0,0.3333333333333333,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,13.333333333333334,-11.666666666666666,25.0,13.333333333333334,-11.666666666666666,25.0,0.0,0.6666666666666666,-0.6666666666666666,-3.6666666666666665,1.6666666666666667,-5.333333333333333,125.66666666666667,103.33333333333333,22.333333333333343,112.33333333333333,115.0,-2.6666666666666714,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,14.0,-16.0,30.0,0.0,0.0,0.0,0.4696969696969697,-0.19696969696969696,0.6666666666666667,13.030303030303031,-11.969696969696969,25.0,-0.43560606060606055,0.23106060606060608,-0.6666666666666666,0.0,0.0,0,0.0,0,0,1
