game_id,date,season,home_team,away_team,home_elo_pre,away_elo_pre,diff_elo,home_rest_days,away_rest_days,diff_rest_days,home_is_b2b,away_is_b2b,diff_is_b2b,home_games_last_3_days,away_games_last_3_days,diff_games_last_3_days,home_games_last_5_days,away_games_last_5_days,diff_games_last_5_days,home_games_last_7_days,away_games_last_7_days,diff_games_last_7_days,home_win_pct_L5,away_win_pct_L5,diff_win_pct_L5,home_win_pct_L10,away_win_pct_L10,diff_win_pct_L10,home_run_diff_L5,away_run_diff_L5,diff_run_diff_L5,home_run_diff_L10,away_run_diff_L10,diff_run_diff_L10,home_runs_scored_L5,away_runs_scored_L5,diff_runs_scored_L5,home_runs_allowed_L5,away_runs_allowed_L5,diff_runs_allowed_L5,home_yrfi_rate_L10,away_yrfi_rate_L10,diff_yrfi_rate_L10,home_r1_scored_rate_L10,away_r1_scored_rate_L10,diff_r1_scored_rate_L10,home_r1_allowed_rate_L10,away_r1_allowed_rate_L10,diff_r1_allowed_rate_L10,home_f5_win_pct_L5,away_f5_win_pct_L5,diff_f5_win_pct_L5,home_f5_diff_L5,away_f5_diff_L5,diff_f5_diff_L5,home_hits_L5,away_hits_L5,diff_hits_L5,home_hits_allowed_L5,away_hits_allowed_L5,diff_hits_allowed_L5,home_home_only_win_pct_L5,away_away_only_win_pct_L5,diff_surface_win_pct_L5,home_home_only_run_diff_L5,away_away_only_run_diff_L5,diff_surface_run_diff_L5,home_home_only_yrfi_rate_L10,away_away_only_yrfi_rate_L10,diff_surface_yrfi_rate_L10,home_home_only_f5_win_pct_L5,away_away_only_f5_win_pct_L5,diff_surface_f5_win_pct_L5,home_win_pct_L10_vs_league,away_win_pct_L10_vs_league,diff_win_pct_L10_vs_league,home_run_diff_L10_vs_league,away_run_diff_L10_vs_league,diff_run_diff_L10_vs_league,home_yrfi_rate_L10_vs_league,away_yrfi_rate_L10_vs_league,diff_yrfi_rate_L10_vs_league,home_f5_win_pct_L5_vs_league,away_f5_win_pct_L5_vs_league,diff_f5_win_pct_L5_vs_league,home_momentum_win,away_momentum_win,diff_momentum_win,home_momentum_run_diff,away_momentum_run_diff,diff_momentum_run_diff,home_surface_edge,away_surface_edge,diff_surface_edge,home_fatigue_index,away_fatigue_index,diff_fatigue_index,home_form_power,away_form_power,diff_form_power,home_is_favorite,odds_over_under,market_missing,TARGET_home_win,TARGET_yrfi,TARGET_home_win_f5
11293,2024-03-12,2024,HAN,KIA,1489.3354418233528,1509.9349975338355,-20.59955571048272,1.0,1.0,0.0,1,1,0,3,3,0,3,3,0,3,3,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-1.3333333333333333,2.6666666666666665,-4.0,-1.3333333333333333,2.6666666666666665,-4.0,2.3333333333333335,5.666666666666667,-3.3333333333333335,3.6666666666666665,3.0,0.6666666666666665,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,1.6666666666666667,-1.0,4.333333333333333,5.666666666666667,-1.333333333333334,3.3333333333333335,3.0,0.3333333333333335,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-1.3333333333333333,2.6666666666666665,-4.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.08333333333333331,0.25,-0.3333333333333333,-0.5416666666666666,3.458333333333333,-3.9999999999999996,0.375,0.041666666666666685,0.3333333333333333,0.08333333333333331,0.41666666666666663,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-0.4444444444444444,1.7777777777777777,-2.2222222222222223,-1,0.0,0,1,1.0,1.0
11294,2024-03-12,2024,SAM,LG,1493.1131034076739,1510.0231738595742,-16.91007045190031,1.0,1.0,0.0,1,1,0,3,3,0,3,3,0,3,3,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666,1.6666666666666667,-2.3333333333333335,-0.6666666666666666,1.6666666666666667,-2.3333333333333335,3.3333333333333335,4.0,-0.6666666666666665,4.0,2.3333333333333335,1.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,-1.3333333333333333,0.3333333333333333,-1.6666666666666665,1.6666666666666667,3.0,-1.3333333333333333,3.3333333333333335,2.3333333333333335,1.0,0.0,0.6666666666666666,-0.6666666666666666,-3.0,1.6666666666666667,-4.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,-0.08333333333333331,0.25,-0.3333333333333333,0.125,2.4583333333333335,-2.3333333333333335,0.041666666666666685,-0.29166666666666663,0.3333333333333333,-0.25,0.08333333333333331,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,2.0,2.0,0.0,-0.2222222222222222,1.1111111111111112,-1.3333333333333335,-1,0.0,0,0,0.0,0.0
11296,2024-03-12,2024,KTW,SSG,1489.7014583446885,1495.0281022981233,-5.326643953434768,1.0,1.0,0.0,1,1,0,3,3,0,3,3,0,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-1.6666666666666667,-3.3333333333333335,1.6666666666666667,-1.6666666666666667,-3.3333333333333335,1.6666666666666667,1.6666666666666667,3.0,-1.3333333333333333,3.3333333333333335,6.333333333333333,-2.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,2.3333333333333335,3.0,-0.6666666666666665,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-1.6666666666666667,-3.3333333333333335,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,-0.08333333333333331,-0.08333333333333331,0.0,-0.8750000000000001,-2.541666666666667,1.666666666666667,-0.29166666666666663,-0.29166666666666663,0.0,-0.25,0.08333333333333331,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-0.5555555555555556,-1.1111111111111112,0.5555555555555556,-1,0.0,0,1,1.0,1.0
11297,2024-03-12,2024,NCD,KIW,1505.7014583446885,1479.0281022981233,26.67335604656523,1.0,1.0,0.0,1,1,0,3,3,0,3,3,0,3,3,0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,-4.0,4.333333333333333,0.3333333333333333,-4.0,4.333333333333333,6.0,4.0,2.0,5.666666666666667,8.0,-2.333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,-1.0,1.0,6.333333333333333,6.0,0.33333333333333304,6.333333333333333,8.666666666666666,-2.333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,-4.0,4.333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.25,-0.41666666666666663,0.6666666666666666,1.125,-3.2083333333333335,4.333333333333334,0.041666666666666685,0.375,-0.3333333333333333,0.08333333333333331,-0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.2222222222222222,-0.0,0.2222222222222222,-1,0.0,0,1,1.0,0.0
11298,2024-03-14,2024,DOO,KIA,1522.8702706970266,1502.2663902702552,20.60388042677141,3.0,2.0,1.0,0,0,0,1,2,-1,3,4,-1,3,4,-1,1.0,0.5,0.5,1.0,0.5,0.5,3.0,0.0,3.0,3.0,0.0,3.0,6.0,4.5,1.5,3.0,4.5,-1.5,0.3333333333333333,0.5,-0.16666666666666669,0.3333333333333333,0.5,-0.16666666666666669,0.3333333333333333,0.25,0.08333333333333331,0.0,0.5,-0.5,0.0,-0.75,0.75,4.333333333333333,5.5,-1.166666666666667,3.6666666666666665,3.75,-0.08333333333333348,1.0,0.5,0.5,3.0,0.0,3.0,0.5,0.5,0.0,0.0,0.5,-0.5,0.4833333333333333,-0.01666666666666672,0.5,2.841666666666667,-0.15833333333333335,3.0,-0.024999999999999967,0.14166666666666672,-0.16666666666666669,-0.225,0.275,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,3.0,0.0,3.0,-1,0.0,0,1,1.0,1.0
11299,2024-03-14,2024,HAN,KTW,1497.004049086933,1497.0198605303322,-0.015811443399115888,2.0,2.0,0.0,0,0,0,2,2,0,4,4,0,4,4,0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,-0.25,1.25,1.0,-0.25,1.25,4.0,3.25,0.75,3.0,3.5,-0.5,0.75,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.5,0.5,0.25,0.25,2.5,0.75,1.75,4.75,4.25,0.5,3.75,4.25,-0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.75,0.0,0.75,0.5,0.0,0.5,-0.01666666666666672,-0.01666666666666672,0.0,0.8416666666666667,-0.4083333333333333,1.25,0.3916666666666667,-0.10833333333333328,0.5,0.275,0.024999999999999994,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,2.0,2.0,0.0,0.5,-0.125,0.625,-1,0.0,0,1,0.0,1.0
11300,2024-03-14,2024,NCD,LG,1512.296106741288,1518.4393338824689,-6.143227141180887,2.0,2.0,0.0,0,0,0,2,2,0,4,4,0,4,4,0,0.75,0.75,0.0,0.75,0.75,0.0,0.5,2.0,-1.5,0.5,2.0,-1.5,6.5,3.75,2.75,6.0,1.75,4.25,0.5,0.0,0.5,0.5,0.0,0.5,0.25,0.0,0.25,0.25,0.5,-0.25,0.0,1.0,-1.0,7.25,3.75,3.5,7.5,2.5,5.0,0.75,0.75,0.0,0.5,2.0,-1.5,0.5,0.0,0.5,0.25,0.5,-0.25,0.23333333333333328,0.23333333333333328,0.0,0.3416666666666667,1.8416666666666666,-1.5,0.14166666666666672,-0.3583333333333333,0.5,0.024999999999999994,0.275,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.375,1.5,-1.125,-1,0.0,0,1,,
11301,2024-03-14,2024,SAM,LOT,1484.6969433847792,1505.2638913929136,-20.566948008134432,2.0,3.0,-1.0,0,0,0,2,1,1,4,3,1,4,3,1,0.25,0.6666666666666666,-0.41666666666666663,0.25,0.6666666666666666,-0.41666666666666663,-1.25,3.3333333333333335,-4.583333333333334,-1.25,3.3333333333333335,-4.583333333333334,2.5,6.333333333333333,-3.833333333333333,3.75,3.0,0.75,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,-1.75,-0.3333333333333333,-1.4166666666666667,2.0,3.0,-1.0,4.0,3.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2666666666666667,0.1499999999999999,-0.41666666666666663,-1.4083333333333334,3.1750000000000003,-4.583333333333334,-0.10833333333333328,-0.3583333333333333,0.25,-0.225,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.6666666666666666,0.41666666666666663,2.0,0.0,2.0,-0.3125,2.2222222222222223,-2.5347222222222223,-1,0.0,0,0,0.0,0.0
11302,2024-03-14,2024,SSG,KIW,1487.7097001124796,1472.4334539015238,15.276246210955833,2.0,2.0,0.0,0,0,0,2,2,0,4,4,0,4,4,0,0.25,0.0,0.25,0.25,0.0,0.25,-3.5,-3.25,-0.25,-3.5,-3.25,-0.25,3.25,4.75,-1.5,6.75,8.0,-1.25,0.25,0.75,-0.5,0.25,0.5,-0.25,0.25,0.75,-0.5,0.25,0.0,0.25,-0.75,-0.75,0.0,4.25,7.25,-3.0,4.75,9.0,-4.25,0.0,0.0,0.0,0.0,-3.25,3.25,0.0,0.75,-0.75,0.0,0.0,0.0,-0.2666666666666667,-0.5166666666666667,0.25,-3.658333333333333,-3.408333333333333,-0.25,-0.10833333333333328,0.3916666666666667,-0.5,0.024999999999999994,-0.225,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-0.25,2.0,2.0,0.0,-0.875,-0.0,-0.875,-1,0.0,0,0,,
11303,2024-03-15,2024,DOO,KIA,1529.6007642247419,1495.53589674254,34.06486748220186,1.0,1.0,0.0,1,1,0,1,2,-1,3,4,-1,4,5,-1,1.0,0.4,0.6,1.0,0.4,0.6,3.5,-1.0,4.5,3.5,-1.0,4.5,6.25,4.0,2.25,2.75,5.0,-2.25,0.5,0.6,-0.09999999999999998,0.5,0.4,0.09999999999999998,0.25,0.4,-0.15000000000000002,0.25,0.4,-0.15000000000000002,1.75,-2.0,3.75,6.5,5.0,1.5,3.5,5.6,-2.0999999999999996,1.0,0.4,0.6,3.6666666666666665,-1.0,4.666666666666666,0.6666666666666666,0.6,0.06666666666666665,0.3333333333333333,0.4,-0.06666666666666671,0.485,-0.11499999999999999,0.6,3.3449999999999998,-1.155,4.5,0.17000000000000004,0.27,-0.09999999999999998,0.0,0.15000000000000002,-0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0,3.5,-0.4,3.9,-1,0.0,0,1,1.0,1.0
